Date,timestamp_bkk,ticker,type,close,volume,detail
2025-09-02,2025-09-02 14:05,KKP.BK,VOLATILITY_BREAK,60.75,4900,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 14:10,M.BK,VOLATILITY_BREAK,22.399999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:10,CHG.BK,VOLUME_SPIKE,1.6200000047683716,1479200,"Vol 1,479,200 > 3.0×avg(20) ~ 245,462"
2025-09-02,2025-09-02 14:10,MOSHI.BK,VOLATILITY_BREAK,40.25,0,TR 0.2500 > 2.0×ATR(20) 0.1000
2025-09-02,2025-09-02 14:15,BCPG.BK,VOLATILITY_BREAK,8.550000190734863,0,TR 0.0500 > 2.0×ATR(20) 0.0125
2025-09-02,2025-09-02 14:15,M.BK,VOLATILITY_BREAK,22.299999237060547,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:15,EGCO.BK,VOLATILITY_BREAK,117.5,0,TR 0.5000 > 2.0×ATR(20) 0.2250
2025-09-02,2025-09-02 14:20,BCPG.BK,VOLATILITY_BREAK,8.5,0,TR 0.0500 > 2.0×ATR(20) 0.0125
2025-09-02,2025-09-02 14:20,BTG.BK,VOLATILITY_BREAK,17.399999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:20,SPALI.BK,VOLATILITY_BREAK,15.899999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:30,BTG.BK,VOLATILITY_BREAK,17.299999237060547,0,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:30,ITC.BK,VOLATILITY_BREAK,15.300000190734863,24800,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:30,TOA.BK,VOLATILITY_BREAK,14.899999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0350
2025-09-02,2025-09-02 14:30,SPALI.BK,VOLATILITY_BREAK,15.800000190734863,0,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:30,TLI.BK,VOLATILITY_BREAK,9.850000381469727,0,TR 0.0500 > 2.0×ATR(20) 0.0200
2025-09-02,2025-09-02 14:30,MINT.BK,VOLATILITY_BREAK,23.600000381469727,9500,TR 0.1000 > 2.0×ATR(20) 0.0300
